"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006924","GO:0006924","activation-induced cell death of T cells","1/5","10/18860",0.1,377.2,19.3773408218421,0.00264858418178604,0.0409282947440568,0.0163014545211037,"TSC22D3",1
"GO:0032364","GO:0032364","intracellular oxygen homeostasis","1/5","10/18860",0.1,377.2,19.3773408218421,0.00264858418178604,0.0409282947440568,0.0163014545211037,"HIF3A",1
"GO:0007028","GO:0007028","cytoplasm organization","1/5","16/18860",0.0625,235.75,15.2971353206778,0.00423503893160793,0.0409282947440568,0.0163014545211037,"TFCP2L1",1
"GO:0002070","GO:0002070","epithelial cell maturation","1/5","25/18860",0.04,150.88,12.2113011156486,0.00661093517062905,0.0409282947440568,0.0163014545211037,"TFCP2L1",1
"GO:0070233","GO:0070233","negative regulation of T cell apoptotic process","1/5","25/18860",0.04,150.88,12.2113011156486,0.00661093517062905,0.0409282947440568,0.0163014545211037,"TSC22D3",1
"GO:0007431","GO:0007431","salivary gland development","1/5","37/18860",0.027027027027027,101.945945945946,10.0086703887676,0.00977173995793057,0.0409282947440568,0.0163014545211037,"TFCP2L1",1
"GO:0008340","GO:0008340","determination of adult lifespan","1/5","38/18860",0.0263157894736842,99.2631578947368,9.87371744293911,0.0100347767374138,0.0409282947440568,0.0163014545211037,"TFCP2L1",1
"GO:0070229","GO:0070229","negative regulation of lymphocyte apoptotic process","1/5","38/18860",0.0263157894736842,99.2631578947368,9.87371744293911,0.0100347767374138,0.0409282947440568,0.0163014545211037,"TSC22D3",1
"GO:0070232","GO:0070232","regulation of T cell apoptotic process","1/5","43/18860",0.0232558139534884,87.7209302325581,9.27073201228546,0.0113491223151571,0.0409282947440568,0.0163014545211037,"TSC22D3",1
"GO:0043029","GO:0043029","T cell homeostasis","1/5","50/18860",0.02,75.44,8.58278103528412,0.0131868604499762,0.0409282947440568,0.0163014545211037,"TSC22D3",1
"GO:0035272","GO:0035272","exocrine system development","1/5","51/18860",0.0196078431372549,73.9607843137255,8.49616215855246,0.0134491712260397,0.0409282947440568,0.0163014545211037,"TFCP2L1",1
"GO:0042220","GO:0042220","response to cocaine","1/5","51/18860",0.0196078431372549,73.9607843137255,8.49616215855246,0.0134491712260397,0.0409282947440568,0.0163014545211037,"FKBP5",1
"GO:2000107","GO:2000107","negative regulation of leukocyte apoptotic process","1/5","58/18860",0.0172413793103448,65.0344827586207,7.95347540655078,0.015283785201949,0.0409282947440568,0.0163014545211037,"TSC22D3",1
"GO:0070231","GO:0070231","T cell apoptotic process","1/5","61/18860",0.0163934426229508,61.8360655737705,7.74978629885639,0.0160692123291143,0.0409282947440568,0.0163014545211037,"TSC22D3",1
"GO:0070228","GO:0070228","regulation of lymphocyte apoptotic process","1/5","63/18860",0.0158730158730159,59.8730158730159,7.62207735348561,0.0165925519232663,0.0409282947440568,0.0163014545211037,"TSC22D3",1
"GO:0051898","GO:0051898","negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","1/5","78/18860",0.0128205128205128,48.3589743589744,6.82511126402314,0.0205105049208582,0.044507642793955,0.017727083900864,"FKBP5",1
"GO:0002260","GO:0002260","lymphocyte homeostasis","1/5","83/18860",0.0120481927710843,45.4457831325301,6.60826681865312,0.0218137105645867,0.044507642793955,0.017727083900864,"TSC22D3",1
"GO:0070227","GO:0070227","lymphocyte apoptotic process","1/5","85/18860",0.0117647058823529,44.3764705882353,6.52686704405847,0.0223346042611563,0.044507642793955,0.017727083900864,"TSC22D3",1
"GO:0006970","GO:0006970","response to osmotic stress","1/5","87/18860",0.0114942528735632,43.3563218390805,6.44825331179681,0.0228552760293282,0.044507642793955,0.017727083900864,"TSC22D3",1
"GO:2000106","GO:2000106","regulation of leukocyte apoptotic process","1/5","97/18860",0.0103092783505155,38.8865979381443,6.09188085837153,0.0254553084259866,0.0462222287063435,0.018409991518885,"TSC22D3",1
"GO:0043279","GO:0043279","response to alkaloid","1/5","100/18860",0.01,37.72,5.99538834837727,0.0262342379144112,0.0462222287063435,0.018409991518885,"FKBP5",1
