"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"228854_at",-3.01390965211336,8.53469288425,-8.79544737590697,3.89740777758667e-10,2.13090770239551e-05,11.0080601301119
"231262_at",-1.32836628434818,5.7686452335625,-7.2551916487228,2.65851035856299e-08,0.000574157963289488,7.82230324946829
"228858_at",-1.44190389834413,8.03038839071875,-6.84607249498192,8.53358059062023e-08,0.0010599574465768,6.91048008486281
"224840_at",-1.87527703121053,9.89007721328125,-6.74647014636441,1.13624009691176e-07,0.0010599574465768,6.68473726981505
"227949_at",-1.43851562710122,7.2741339224375,-6.35660066207277,3.51189660730576e-07,0.00240016183755553,5.78811559611916
"227642_at",-1.42746846471255,8.191211989,-6.17679363176535,5.93110390527212e-07,0.00360314562245281,5.36816795490271
"224856_at",-1.49070212429554,6.89628045353125,-6.13861368092226,6.63087242818503e-07,0.00362542950011016,5.27852085957187
"208763_s_at",-1.18032333703644,7.95890148875,-5.47960751299942,4.5885404342136e-06,0.0192983421723561,3.70941772545772
"219735_s_at",-1.40751609209717,9.072076840375,-5.33894144257403,6.94206853309927e-06,0.0247786963997795,3.37040492272028
"1555318_at",-1.36076309160324,5.6882047255625,-5.16255362154808,1.16647455068443e-05,0.0335668400308797,2.94410030264631
